track_name,artists_names,principal_artist_name,artist_genres,popularity,year,danceability,energy,valence,acousticness,instrumentalness,speechiness,tempo,loudness,duration_min,genre_label,cluster
I Wanna Go Back,Eddie Money,Eddie Money,album rock;classic rock;country rock;glam metal;hard rock;mellow gold;soft rock;southern rock,52,1986,0.61,0.734,0.701,0.237,6.02e-05,0.034,111.698,-9.862,3.924883333333333,Country,2
Like A Rock,Bob Seger,Bob Seger,album rock;classic rock;country rock;detroit rock;hard rock;heartland rock;mellow gold;rock;singer-songwriter;soft rock,56,1986,0.399,0.645,0.384,0.112,0.000551,0.0271,82.795,-5.356,5.929966666666667,Country,2
Werewolves of London,Warren Zevon,Warren Zevon,country rock;folk;folk rock;heartland rock;piano rock;roots rock;singer-songwriter,57,1986,0.749,0.614,0.878,0.0372,0.00286,0.0264,103.868,-10.594,3.46955,Country,1
Nobody In His Right Mind Would've Left Her,George Strait,George Strait,contemporary country;country;country road,53,1986,0.616,0.342,0.544,0.154,0.0,0.0282,60.508,-15.828,2.874883333333333,Country,0
1982,Randy Travis,Randy Travis,contemporary country;country;country gospel;country road,54,1986,0.614,0.53,0.58,0.0986,1.9e-06,0.0254,108.051,-8.129,2.988433333333333,Country,2
Let's Wait Awhile,Janet Jackson,Janet Jackson,dance pop;r&b;urban contemporary,55,1986,0.592,0.2,0.382,0.823,0.0,0.0344,172.647,-16.392,4.623333333333333,R&B,0
Funny How Time Flies (When You're Having Fun),Janet Jackson,Janet Jackson,dance pop;r&b;urban contemporary,50,1986,0.701,0.119,0.236,0.542,0.00222,0.0398,77.195,-19.145,4.474433333333334,R&B,0
Little Rock,Reba McEntire,Reba McEntire,classic oklahoma country;contemporary country;country;country dawn;country road,50,1986,0.662,0.466,0.831,0.38,5.71e-06,0.0365,140.137,-14.705,3.117766666666667,Country,0
One Promise Too Late,Reba McEntire,Reba McEntire,classic oklahoma country;contemporary country;country;country dawn;country road,51,1986,0.644,0.304,0.68,0.449,0.0,0.0363,79.099,-15.664,3.4311,Country,0
Jam Tonight,Freddie Jackson,Freddie Jackson,contemporary r&b;new jack swing;quiet storm;r&b;urban contemporary,50,1986,0.771,0.318,0.789,0.222,0.0,0.0365,111.507,-13.922,4.543333333333333,R&B,0
"Somewhere Out There - From ""An American Tail"" Soundtrack",Linda Ronstadt;James Ingram,Linda Ronstadt,country rock;folk;folk rock;heartland rock;mellow gold;singer-songwriter;soft rock,55,1986,0.32,0.221,0.116,0.817,0.000137,0.0328,80.04,-16.302,3.96955,Country,0
Have You Ever Loved Somebody,Freddie Jackson,Freddie Jackson,contemporary r&b;new jack swing;quiet storm;r&b;urban contemporary,52,1986,0.689,0.423,0.715,0.43,3.16e-06,0.0376,89.746,-12.85,4.621766666666667,R&B,0
The Pleasure Principle,Janet Jackson,Janet Jackson,dance pop;r&b;urban contemporary,51,1986,0.661,0.711,0.889,0.428,0.0221,0.0514,116.836,-11.037,4.966216666666667,R&B,2
"Hold It Now, Hit It",Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,51,1986,0.791,0.738,0.891,0.0123,0.0,0.355,95.3,-8.768,3.436883333333333,Hip Hop,1
Secret Lovers,Atlantic Starr,Atlantic Starr,contemporary r&b;new jack swing;quiet storm;urban contemporary,53,1986,0.339,0.379,0.429,0.653,3.56e-06,0.0528,74.142,-15.08,5.5111,R&B,0
Slow Ride,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,49,1986,0.714,0.601,0.415,0.00754,0.000322,0.302,193.527,-9.459,2.946,Hip Hop,1
Posse In Effect,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,49,1986,0.666,0.912,0.818,0.0271,0.0,0.445,171.732,-8.489,2.440216666666667,Hip Hop,1
Slow And Low,Beastie Boys,Beastie Boys,alternative rock;east coast hip hop;golden age hip hop;hip hop;old school hip hop;rap;rap rock;rock,48,1986,0.665,0.615,0.692,0.0406,0.0,0.395,168.76,-9.245,3.634433333333333,Hip Hop,1
Slow Down,Loose Ends,Loose Ends,brit funk;contemporary r&b;funk;new jack swing;post-disco;quiet storm;urban contemporary,49,1986,0.735,0.582,0.674,0.213,2.55e-06,0.0628,102.896,-11.2,5.054666666666667,R&B,1
The Happiest Girl In The Whole U.S.A.,Donna Fargo,Donna Fargo,classic country pop,50,1986,0.655,0.449,0.488,0.357,0.0,0.0277,97.982,-11.468,2.521766666666667,Country,0
My Adidas,Run–D.M.C.,Run–D.M.C.,east coast hip hop;golden age hip hop;hip hop;old school hip hop;queens hip hop;rap,51,1986,0.83,0.907,0.757,0.000867,0.0,0.2,95.263,-8.508,2.798,Hip Hop,1
Tuff Enuff,The Fabulous Thunderbirds,The Fabulous Thunderbirds,blues;blues rock;country rock;electric blues;heartland rock;modern blues;southern rock;texas blues,50,1986,0.58,0.663,0.718,0.0735,0.00211,0.0385,116.305,-11.48,3.373333333333334,Country,2
What Have You Done For Me Lately,Janet Jackson,Janet Jackson,dance pop;r&b;urban contemporary,49,1986,0.846,0.396,0.841,0.0157,0.0116,0.0677,114.045,-12.408,4.99155,R&B,1
Love You Down - Extended Remix,Ready For The World;Louil Silas Jr.,Ready For The World,boy band;contemporary r&b;minneapolis sound;new jack swing,47,1986,0.717,0.288,0.306,0.261,0.000974,0.0507,129.401,-12.943,6.517766666666667,R&B,0
"Planet Rock - Original 12"" Version",Afrika Bambaataa;The Soulsonic Force,Afrika Bambaataa,bronx hip hop;east coast hip hop;old school hip hop,50,1986,0.947,0.859,0.778,0.0537,4.77e-05,0.162,127.07,-6.126,6.399333333333334,Hip Hop,1
Wrap It Up,The Fabulous Thunderbirds,The Fabulous Thunderbirds,blues;blues rock;country rock;electric blues;heartland rock;modern blues;southern rock;texas blues,48,1986,0.676,0.632,0.86,0.202,0.000139,0.0688,120.862,-12.726,2.71,Country,1
As We Lay,Shirley Murdock,Shirley Murdock,contemporary r&b;new jack swing;quiet storm;r&b;urban contemporary,48,1986,0.492,0.286,0.196,0.471,0.0,0.0367,73.823,-12.118,5.983333333333333,R&B,0
